1500-01	1500_A
boot-01	boot_N,boot_V
boot-02	boot_V
boot-04	boot_N
boot_up-03	boot_up_N
bootleg-01	bootleg_V
booze-01	booze_V
bop-01	bop_V
border-01	border_V
borderline-01	borderline_A
bore-07	bore_V,bored_A
bore-08	boring_A,bore_V,bored_A
borrow-01	borrowing_N,borrow_V
boss-01	boss_V,bossy_A
boss_around-02	boss_around_V
botch-01	botch_V,botching_N
bother-01	bother_V,bothered_A,bothersome_A
bother-02	bother_V,bothered_A
bottle-01	bottle_V
bottle_up-02	bottle_up_V
bottlefeed-01	bottlefeed_V
bottleneck-01	bottleneck_V
bottom_out-01	bottom_out_V
bounce-01	bounce_V,bounce_N
bounce_back-02	bounce_back_V
bound-05	bound_A,bound_V,bind_V
bound-08	bound_V
bound-09	bound_V
bound_up-06	bound_up_A
bow-01	bow_V,bow_N
bow-02	bow_V,bow_N
bow-03	bow_V
